Course name,Campus,"Course code","Fee type", Duration,"Prev LSR","Avail INT"
Bachelor of Accounting and Finance,North Sydney (MacKillop),103710,CSP,3F/EqP,60.20,Y
Bachelor of Arts,Strathfield (Mount St Mary),103302,CSP,3F/EqP,60.25,Y
Bachelor of Arts,Blacktown,103314,CSP,3F/EqP,58.75,Y
Bachelor of Arts (Western Civilisation),North Sydney (MacKillop),103315,CSP,3F/EqP,N/A,N
Bachelor of Arts (Western Civilisation)/Bachelor of Laws,North Sydney (MacKillop),103316,CSP,5F/EqP,N/A,N
Bachelor of Arts (Western Civilisation)/Master of Teaching (Secondary),North Sydney (MacKillop),103319,CSP,4.5F/9P,N/A,Y
Bachelor of Arts/Bachelor of Commerce,Strathfield (Mount St Mary),103303,CSP,4F/EqP,62.25,Y
Bachelor of Arts/Bachelor of Global Studies,Strathfield (Mount St Mary),103311,CSP,4F/EqP,59.85,Y
Bachelor of Arts/Bachelor of Laws,North Sydney (MacKillop),107001,CSP,5F/EqP,75.05,Y
Bachelor of Arts/Master of Teaching (Secondary),Strathfield (Mount St Mary),103318,CSP,4F/8P,65.15,Y
Bachelor of Biomedical Science,North Sydney (MacKillop),107008,CSP,3F/EqP,59.15,Y
Bachelor of Biomedical Science/Bachelor of Business Administration,North Sydney (MacKillop),107011,CSP,4F/EqP,69.15,Y
Bachelor of Biomedical Science/Bachelor of Laws,North Sydney (MacKillop),107010,CSP,5F/EqP,88.30,Y
Bachelor of Business Administration,North Sydney (MacKillop),103706,CSP,3F/EqP,58.60,Y
Bachelor of Business Administration,Strathfield (Mount St Mary),103716,CSP,3F/EqP,59.30,Y
Bachelor of Business Administration/Bachelor of Global Studies,North Sydney (MacKillop),103707,CSP,4F/EqP,69.50,Y
Bachelor of Business Administration/Bachelor of Laws,North Sydney (MacKillop),107004,CSP,5F/EqP,86.35,Y
Bachelor of Commerce,North Sydney (MacKillop),103701,CSP,3F/EqP,64.90,Y
Bachelor of Commerce,Strathfield (Mount St Mary),103711,CSP,3F/EqP,60.15,Y
Bachelor of Commerce,Blacktown,103722,CSP,3F/EqP,59.05,Y
Bachelor of Commerce (Accounting),North Sydney (MacKillop),103726,CSP,3F/EqP,62.05,Y
Bachelor of Commerce (Data Analytics),North Sydney (MacKillop),103729,CSP,3F/EqP,N/A,Y
Bachelor of Commerce (HRM and Management),North Sydney (MacKillop),103727,CSP,3F/EqP,67.40,Y
Bachelor of Commerce (Marketing),North Sydney (MacKillop),103728,CSP,3F/EqP,59.80,Y
